W/L (nm);Wavenumber ();Transmission 
1277;7830.853563;1.24
1277;7830.853563;1.47
1277;7830.853563;1.63
1277;7830.853563;1.67
1277;7830.853563;1.54
1277;7830.853563;1.24
1277;7830.853563;0.83
1277;7830.853563;0.39
1277;7830.853563;0.02
1277;7830.853563;-0.2
1277;7830.853563;-0.25
1277;7830.853563;-0.14
1277;7830.853563;0.08
1277;7830.853563;0.36
1277;7830.853563;0.62
1277;7830.853563;0.83
1277;7830.853563;0.99
1277;7830.853563;1.1
1278;7824.726135;1.18
1278;7824.726135;1.26
1278;7824.726135;1.34
1278;7824.726135;1.42
1278;7824.726135;1.47
1278;7824.726135;1.48
1278;7824.726135;1.42
1278;7824.726135;1.28
1278;7824.726135;1.05
1278;7824.726135;0.74
1278;7824.726135;0.38
1278;7824.726135;0.03
1278;7824.726135;-0.25
1278;7824.726135;-0.4
1278;7824.726135;-0.36
1278;7824.726135;-0.12
1278;7824.726135;0.28
1278;7824.726135;0.78
1278;7824.726135;1.29
1278;7824.726135;1.72
1278;7824.726135;2.01
1278;7824.726135;2.15
1278;7824.726135;2.16
1278;7824.726135;2.1
1278;7824.726135;2.02
1278;7824.726135;1.96
1279;7818.608288;1.92
1279;7818.608288;1.88
1279;7818.608288;1.8
1279;7818.608288;1.63
1279;7818.608288;1.34
1279;7818.608288;0.96
1279;7818.608288;0.52
1279;7818.608288;0.11
1279;7818.608288;-0.22
1279;7818.608288;-0.4
1279;7818.608288;-0.43
1279;7818.608288;-0.33
1279;7818.608288;-0.15
1279;7818.608288;0.05
1279;7818.608288;0.19
1279;7818.608288;0.26
1279;7818.608288;0.27
1279;7818.608288;0.22
1279;7818.608288;0.17
1279;7818.608288;0.13
1279;7818.608288;0.12
1279;7818.608288;0.12
1279;7818.608288;0.13
1279;7818.608288;0.13
1279;7818.608288;0.13
1280;7812.5;0.16
1280;7812.5;0.23
1280;7812.5;0.38
1280;7812.5;0.6
1280;7812.5;0.87
1280;7812.5;1.12
1280;7812.5;1.31
1280;7812.5;1.39
1280;7812.5;1.36
1280;7812.5;1.25
1280;7812.5;1.09
1280;7812.5;0.95
1280;7812.5;0.83
1280;7812.5;0.75
1280;7812.5;0.67
1280;7812.5;0.57
1280;7812.5;0.43
1280;7812.5;0.25
1280;7812.5;0.08
1280;7812.5;-0.06
1280;7812.5;-0.11
1280;7812.5;-0.09
1280;7812.5;-0.02
1280;7812.5;0.04
1280;7812.5;0.05
1280;7812.5;-0.05
1281;7806.401249;-0.26
1281;7806.401249;-0.54
1281;7806.401249;-0.87
1281;7806.401249;-1.18
1281;7806.401249;-1.43
1281;7806.401249;-1.6
1281;7806.401249;-1.67
1281;7806.401249;-1.65
1281;7806.401249;-1.53
1281;7806.401249;-1.34
1281;7806.401249;-1.08
1281;7806.401249;-0.78
1281;7806.401249;-0.47
1281;7806.401249;-0.19
1281;7806.401249;0.03
1281;7806.401249;0.16
1281;7806.401249;0.2
1281;7806.401249;0.17
1281;7806.401249;0.11
1281;7806.401249;0.07
1281;7806.401249;0.06
1281;7806.401249;0.08
1281;7806.401249;0.13
1281;7806.401249;0.18
1281;7806.401249;0.2
1282;7800.312012;0.16
1282;7800.312012;0.08
1282;7800.312012;-0.03
1282;7800.312012;-0.16
1282;7800.312012;-0.26
1282;7800.312012;-0.32
1282;7800.312012;-0.33
1282;7800.312012;-0.28
1282;7800.312012;-0.19
1282;7800.312012;-0.08
1282;7800.312012;0
1282;7800.312012;0.01
1282;7800.312012;-0.07
1282;7800.312012;-0.25
1282;7800.312012;-0.5
1282;7800.312012;-0.77
1282;7800.312012;-0.98
1282;7800.312012;-1.09
1282;7800.312012;-1.06
1282;7800.312012;-0.89
1282;7800.312012;-0.64
1282;7800.312012;-0.39
1282;7800.312012;-0.22
1282;7800.312012;-0.16
1282;7800.312012;-0.22
1283;7794.232268;-0.35
1283;7794.232268;-0.48
1283;7794.232268;-0.55
1283;7794.232268;-0.51
1283;7794.232268;-0.38
1283;7794.232268;-0.17
1283;7794.232268;0.04
1283;7794.232268;0.2
1283;7794.232268;0.27
1283;7794.232268;0.22
1283;7794.232268;0.08
1283;7794.232268;-0.14
1283;7794.232268;-0.39
1283;7794.232268;-0.64
1283;7794.232268;-0.87
1283;7794.232268;-1.04
1283;7794.232268;-1.13
1283;7794.232268;-1.15
1283;7794.232268;-1.07
1283;7794.232268;-0.92
1283;7794.232268;-0.73
1283;7794.232268;-0.55
1283;7794.232268;-0.42
1283;7794.232268;-0.39
1283;7794.232268;-0.47
1284;7788.161994;-0.63
1284;7788.161994;-0.83
1284;7788.161994;-1.02
1284;7788.161994;-1.13
1284;7788.161994;-1.14
1284;7788.161994;-1.04
1284;7788.161994;-0.88
1284;7788.161994;-0.68
1284;7788.161994;-0.5
1284;7788.161994;-0.37
1284;7788.161994;-0.33
1284;7788.161994;-0.37
1284;7788.161994;-0.47
1284;7788.161994;-0.59
1284;7788.161994;-0.71
1284;7788.161994;-0.79
1284;7788.161994;-0.8
1284;7788.161994;-0.73
1284;7788.161994;-0.58
1284;7788.161994;-0.38
1284;7788.161994;-0.17
1284;7788.161994;0.01
1284;7788.161994;0.15
1284;7788.161994;0.22
1284;7788.161994;0.24
1285;7782.101167;0.24
1285;7782.101167;0.26
1285;7782.101167;0.31
1285;7782.101167;0.43
1285;7782.101167;0.58
1285;7782.101167;0.74
1285;7782.101167;0.85
1285;7782.101167;0.85
1285;7782.101167;0.73
1285;7782.101167;0.47
1285;7782.101167;0.1
1285;7782.101167;-0.34
1285;7782.101167;-0.8
1285;7782.101167;-1.23
1285;7782.101167;-1.6
1285;7782.101167;-1.88
1285;7782.101167;-2.07
1285;7782.101167;-2.17
1285;7782.101167;-2.19
1285;7782.101167;-2.13
1285;7782.101167;-2.01
1285;7782.101167;-1.83
1285;7782.101167;-1.63
1285;7782.101167;-1.41
1285;7782.101167;-1.19
1285;7782.101167;-0.96
1286;7776.049767;-0.69
1286;7776.049767;-0.37
1286;7776.049767;0.02
1286;7776.049767;0.48
1286;7776.049767;0.99
1286;7776.049767;1.49
1286;7776.049767;1.92
1286;7776.049767;2.22
1286;7776.049767;2.34
1286;7776.049767;2.28
1286;7776.049767;2.07
1286;7776.049767;1.76
1286;7776.049767;1.4
1286;7776.049767;1.07
1286;7776.049767;0.8
1286;7776.049767;0.6
1286;7776.049767;0.47
1286;7776.049767;0.38
1286;7776.049767;0.3
1286;7776.049767;0.21
1286;7776.049767;0.09
1286;7776.049767;-0.04
1286;7776.049767;-0.16
1286;7776.049767;-0.25
1286;7776.049767;-0.27
1287;7770.00777;-0.22
1287;7770.00777;-0.11
1287;7770.00777;0.03
1287;7770.00777;0.16
1287;7770.00777;0.22
1287;7770.00777;0.19
1287;7770.00777;0.06
1287;7770.00777;-0.16
1287;7770.00777;-0.42
1287;7770.00777;-0.65
1287;7770.00777;-0.81
1287;7770.00777;-0.84
1287;7770.00777;-0.76
1287;7770.00777;-0.59
1287;7770.00777;-0.39
1287;7770.00777;-0.2
1287;7770.00777;-0.06
1287;7770.00777;-0.01
1287;7770.00777;-0.04
1287;7770.00777;-0.12
1287;7770.00777;-0.22
1287;7770.00777;-0.3
1287;7770.00777;-0.35
1287;7770.00777;-0.32
1287;7770.00777;-0.22
1288;7763.975155;-0.05
1288;7763.975155;0.14
1288;7763.975155;0.31
1288;7763.975155;0.41
1288;7763.975155;0.38
1288;7763.975155;0.21
1288;7763.975155;-0.09
1288;7763.975155;-0.47
1288;7763.975155;-0.83
1288;7763.975155;-1.09
1288;7763.975155;-1.18
1288;7763.975155;-1.05
1288;7763.975155;-0.73
1288;7763.975155;-0.29
1288;7763.975155;0.18
1288;7763.975155;0.59
1288;7763.975155;0.85
1288;7763.975155;0.93
1288;7763.975155;0.86
